Cause_Of_Injury,Total_Injuries,â‰¤5,5-14,15-24,25-64,65+
"Exercise, exercise equipment","482,886","7,750","40,592","95,671","247,518","91,354"
Bicycles and accessories,"405,688","13,312","92,776","54,207","195,805","49,588"
Basketball,"332,391","1,573","114,123","149,816","64,915","1,964"
"ATV's, mopeds, minibikes, etc.","269,657","3,827","44,487","76,485","131,303","13,555"
Football,"263,585",560,"140,877","101,796","19,605",746
"Skateboards, scooters, hoverboards","221,313","6,528","60,376","58,480","88,507","7,422"
Soccer,"212,423","2,069","101,072","75,978","32,140","1,164"
Playground equipment,"190,942","49,233","125,692","5,373","9,019","1,624"
"Swimming, pools, equipment","166,011","20,254","66,420","24,348","42,791","12,198"
"Baseball, softball","139,940","2,399","59,255","42,973","31,789","3,524"
Trampolines,"111,212","25,516","67,926","8,682","8,683",404
"Lacrosse, rugby, misc. ball games","72,096",528,"17,948","18,321","19,526","15,773"
Skating (excl. In-line),"69,833",682,"27,552","12,834","26,674","2,091"
Golf,"67,488","1,701","8,117","7,422","23,239","27,009"
Volleyball,"54,904",41,"19,952","25,160","8,645","1,106"
Fishing,"54,230","1,212","11,019","7,091","27,420","7,488"
Hockey,"40,948",130,"12,456","17,274","10,395",694
Martial arts,"31,423",48,"8,600","8,605","13,760",411
Racquet sports,"22,769",88,"2,900","4,318","7,515","7,949"
"Beach, picnic, camping equipment","22,637","2,595","3,593","1,938","10,119","4,392"
Boxing,"21,806",55,"2,387","10,389","8,645",331
"Water skiing, tubing, surfing","18,165",144,"2,269","5,174","9,727",851
